,Port_IDs,roi,PnL,sharpe_ratio,win_rate,max_drawdown,drawdown_duration,win_positions,total_positions,score,rank
0,4030708912786799105,0.03236501342552493,1630.72054749,0.18710046919260304,1.0,0.0,60.0,58.0,58.0,0.00026860462033099234,1.0
1,4020204877254599680,0.0036066833403869984,83347.15346239973,0.06982675559285491,0.7654690618762475,-0.043238485100048615,10.0,2301.0,3006.0,6.267175714564076e-06,2.0
2,4039129759104249600,0.032060772461721385,1281.7186427600004,0.5268058690158414,1.0,-0.005682003733213384,1.0,56.0,56.0,5.158056180589488e-06,3.0
3,4029749871687083265,0.032205408318315164,3719.889099970002,0.35647924458951225,1.0,-0.05282586592846827,1.0,521.0,521.0,4.572732641957409e-06,4.0
4,4037717032428033792,0.027840435719249504,1929.8450011299997,0.2239771190914805,1.0,-0.02069751243623399,2.0,170.0,170.0,1.9410606565958084e-06,5.0
5,4022641794255717633,0.018676859637215135,2200.3966159000006,0.5337675444408037,1.0,-0.9976020646172956,1.0,2923.0,2923.0,1.0215338718403158e-06,6.0
6,4028701921959171840,0.004561724886748397,19753.162333099994,0.30014798571626106,0.9705882352941176,-0.04970958879031325,1.0,297.0,306.0,9.240050182241691e-07,7.0
7,4022565861939831809,0.002768874833656157,16866.053764880002,0.34651739763801515,0.958904109589041,-0.04678999999999993,1.0,350.0,365.0,8.112397803279655e-07,8.0
8,3999240873283311617,0.0056758446172866205,44446.918627420055,0.23365022837455135,1.0,-0.9999986131116576,3.0,2063.0,2063.0,5.904400801749975e-07,9.0
9,3944088772635000577,0.007571597181304416,8098.270350520009,0.31041329992425026,1.0,-0.9999415223086766,1.0,3254.0,3254.0,4.798552316281167e-07,10.0
10,3907081197088384000,0.011372258951474958,18638.53645880003,0.22834382222251995,1.0,-0.9999999999937756,1.0,1538.0,1538.0,4.049031847745242e-07,11.0
11,4037121179310444801,0.0017718587255866045,9887.642919640013,0.1438267516245639,1.0,-0.06697237569060775,6.0,828.0,828.0,3.895474202672018e-07,12.0
12,3998572645139652353,0.004972738069623433,10203.613849169995,0.2755257601864615,0.9934640522875817,-0.041783789405598036,1.0,152.0,153.0,3.839736580473371e-07,13.0
13,3960874214179953664,0.002566593179036349,21527.023136509997,0.17568416299839582,0.9104247104247104,-0.2115664645053662,1.0,1179.0,1295.0,3.731186745484978e-07,14.0
14,4041860229502600193,0.01389037280262594,2414.2393307599996,0.4688860465165931,1.0,-0.027352043151111522,1.0,39.0,39.0,3.4285299184028816e-07,15.0
15,3986814617275053313,0.00905333114646506,16969.210988640014,0.33601440620851925,0.9978813559322034,-0.9999996777306845,1.0,942.0,944.0,2.615295061465935e-07,16.0
16,3956076827719377409,0.010716049926885782,17430.47953172,0.10235009331418596,0.9122574955908289,-0.9999999999994835,5.0,2069.0,2268.0,2.5348573622842776e-07,17.0
17,4004713168329653760,0.03246430676504648,1685.62149495,0.28504960341985464,1.0,-0.03229745405702417,1.0,25.0,25.0,2.5206475234180466e-07,18.0
18,4023697433751327232,0.032215121043988305,2435.0406431700003,0.30636974516846915,1.0,-0.05901439870208893,2.0,38.0,38.0,2.3646649824414645e-07,19.0
19,3939925275039085824,0.007054436291749402,2559.4103024700044,0.2307898169081226,0.9859638178415471,-0.9999999999877773,1.0,3161.0,3206.0,2.307235864131491e-07,20.0
